,QueryID,QueryText,QueryImages,Label
0,638,Stephen Miller is right . Voter fraud is PROVEN . All you have to do is look at the facts ! #MakeAmericaGreatAgain url,raw_images/images_otweet_DataC/2027.png,0.0
50,492,Great to join Three Lakes High School to discuss how the #wibudget will invest historic amounts in WI K - 12 edu ! #StudentSuccess url,raw_images/images_otweet_DataC/42237.png,0.0
100,820,People seem to have forgotten what Trump promised on the campaign trail . The tragedy at the school is convenient for him . #ParklandStudentsSpeak #KillTheNRA url,raw_images/images_otweet_DataC/23399.png,0.0
150,1509,National corporate tax rates - U . S . vs . France vs . China vs . U . K . vs . Germany vs . Ireland . url,raw_images/images_otweet_DataC/17364.png,0.0
200,924, How ' Birtherism ' became Hillary's Waterloo  url url,raw_images/images_otweet_DataC/44331.png,0.0
250,1671,WHAT ? What abt classified emails ? @user @user @user url,raw_images/images_otweet_DataC/18442.png,0.0
300,1100,"@user @user @user @user I mean , it's certainly not * completely * false ... url",raw_images/images_otweet_DataC/43066.png,0.0
350,1560,@user @user it was the ( R ) that caused Benghazi by not giving funds & refused security requests . & ( R ) spent like 7 Million trying to find her guilty . So crooked . url url,raw_images/images_otweet_DataC/35133.png,0.0
400,2,Hillary Clinton's ' 08 campaign chief : We didn't start the ' birther ' movement url url,raw_images/images_otweet_DataC/11566.png,0.0
450,1335,@user What's the difference ? url,raw_images/images_otweet_DataC/4943.png,0.0
500,1519,What short memories some people have #CrookedClintons via ~ @user url,raw_images/images_otweet_DataC/13229.png,0.0
550,1311,Just a tiny example why she deserves your vote :P url,raw_images/images_otweet_DataC/6122.png,0.0
600,16,Debate fact-check : Donald Trump said the U . S . gave Iran $ 150 billion in one-sided transaction . Grade : False url #Debates url,raw_images/images_otweet_DataC/2438.png,0.0
650,159,Seeing MSM dishonestly try to rebuke truth & evidence @user camp started #birtherism is plain hysterical url,raw_images/images_otweet_DataC/28524.png,0.0
700,970,"Secretary of Defense James Mattis says the military will continue to function but the government shutdown will have a "" terrible impact "" url url",raw_images/images_otweet_DataC/7884.png,0.0
750,1541,"When life come at you fast ! Look at God , won't he do it ! ! ! url",raw_images/images_otweet_DataC/6375.png,0.0
800,1942,Trump Stays Buggy ? People don't want NYT's #fakenews President Crazypants Donna Brazile #NewJobsForKellyanneConway #maga url,raw_images/images_otweet_DataC/794.png,0.0
850,345,Among the reasons why I mock #GaysForTrump for supporting #TrumpPence @user #ImWithHer url,raw_images/images_otweet_DataC/42361.png,0.0
900,1637,NOTE TO #BlackLivesMatter & @user Deal With Yourselves #WeThePeople #tcot #WakeUpAmerica #BoysInBlue url,raw_images/images_otweet_DataC/25312.png,0.0
950,1178,Trump on uranium . I've read this 5 times and have no idea what he is talking about . url,raw_images/images_otweet_DataC/38733.png,0.0
1000,738,"Trump talking to the Polish-National Alliance today in Chicago : "" These are great people . "" url",raw_images/images_otweet_DataC/7906.png,0.0
1050,2016,"Hey , @user , I know . Maybe it's research in the digital age that has you flubbing these simple ones . Does this help ? url",raw_images/images_otweet_DataC/3038.png,0.0
1100,1429,The number of Obamacare insurers in South Carolina ONE . url,raw_images/images_otweet_DataC/41439.png,0.0
1150,619,@user @user Nationalism is the opposite of Globalism or One World . Give me Nationalism any day . url,raw_images/images_otweet_DataC/28525.png,0.0
1200,730,R / T @user : Hillary Claims Lack Of Security Funding Led To Benghazi ! REALLY ? ? #TCOT #PJNET #stopHillary2016 url,raw_images/images_otweet_DataC/16617.png,0.0
1250,573,Tell Me With Whom You Walk and I Will Tell You Who You Are ... #AltRightMeans url,raw_images/images_otweet_DataC/37779.png,0.0
1300,1626,GOP congressman suggests reporters should be prosecuted for leaks url url,raw_images/images_otweet_DataC/28683.png,0.0
1350,512,"It's becoming clear that @user is not going to have me back on her show to present the facts about Delta & Planned Parenthood . Instead , I will provide them here . #gapol #NRA #MAGA url",raw_images/images_otweet_DataC/29976.png,0.0
1400,53,@user Put this on list . url,raw_images/images_otweet_DataC/8151.png,0.0
1450,388,"How much more must we endure ? Total U . S . war deaths ( Revolutionary thru Iraq Wars ) = 1,396 , 733 ; Total U . S . firearms related deaths , 1968-2015 = 1,516 , 863 . url",raw_images/images_otweet_DataC/32322.png,0.0
1500,845,@user @user You grow up too ! url,raw_images/images_otweet_DataC/35622.png,0.0
1550,1426,@user Americans are flushing the trash and poison out of this country . url,raw_images/images_otweet_DataC/31099.png,0.0
1600,1304,Paul Ryan rejects call for special prosecutor on Trump-Russia ties . Reminder : GOP had * seven * different investigations of Benghazi . url,raw_images/images_otweet_DataC/30312.png,0.0
1650,1816,Does anybody really think Hillary Clinton would be tougher on Russia than @user ? She gave them uranium ! PERFECT LINE url,raw_images/images_otweet_DataC/37436.png,0.0
1700,2020,The bold budget we passed this year puts more actual dollars into classrooms than ever before . We added $ 200 per student and will add another $ 200 per student next year ! #WIForward url,raw_images/images_otweet_DataC/3164.png,0.0
